id;device_name;device_type;max_devices;max_network_traffic;cost;failure_prob;layer
1;Netgear WAX214;Router;5;1800;139;2;cloud-aws
2;Netgear WAX218;Router;9;3600;190;1;cloud-aws
3;Netgear WAX620;Router;8;3600;287;5;edge-river
4;Netgear WAX630E ;Router;12;7800;373;15;premises-tecnalia700
5;Netgear WAX630;Router;10;6000;332;1;cloud-azure
6;Netgear WAX615;Router;7;3000;198;2;premises-tecnalia700
7;Aruba Instant On AP25;Router;8;5400;343;2;edge-river
8;Aruba AP-555;Router;8;6000;1735;1;edge-road
9;Aruba Instant On AP11D;Router;5;1200;177;2;edge-road
10;ASUS 4G-AX56;Router;6;1800;277;25;premises-tecnalia101
11;ASUS ROG Rapture GT-AX11000;Router;9;11000;461;3;edge-river
12;ASUS RT-AX92U;Router;5;6000;258;1;cloud-azure
13;ASUS ZenWiFi AX (XT8) ;Router;5;6600;277;8;edge-river
14;ASUS ZenWiFi AX Hybrid (XP4);Router;6;1800;178;25;premises-tecnalia700
15;ASUS ZenWiFi XD6;Router;10;5400;238;25;premises-tecnalia101
16;ASUS ZenWiFi XD5;Router;8;3000;149;15;edge-river
17;ASUS ZenWiFi XT9;Router;14;7800;314;1;cloud-aws
18;ASUS ZenWiFi AC Mini (CD6);Router;6;1500;100;2;edge-road
19;Cisco CBW140;Router;6;1200;140;18;cloud-aws
20;Cisco CBW145;Router;8;1200;168;2;cloud-azure
21;D-Link DIR-809;Router;4;750;42;1;edge-road
22;D-Link DIR-X5460;Router;8;5400;178;2;premises-tecnalia204
23;D-Link DSR-1000AC;Router;6;1750;652;15;cloud-azure
24;Linksys MR8300;Router;5;2200;129;25;cloud-azure
25;Linksys MR9000;Router;5;3000;159;28;cloud-azure
26;D-Link DSR-100AC;Firewall;8;950;652;4;cloud-aws
27;Meraki Go GX20;Firewall;4;250;176;15;premises-tecnalia204
28;ZyXEL USG20-VPN;Firewall;5;350;370;3;cloud-aws
29;D-Link DSR-250N;Firewall;4;45;314;4;cloud-aws
30;ZyXEL USG Flex 100 con paquete de seguridad UTM (USGFLEX100-EU0102F);Firewall;9;900;745;2;premises-tecnalia101
