id,hostname,thread_count,memory,resillience,performance,parallelization,consumption,country_code,cloud_type,instance_type,ts,stage,frequency,bandwidth
1,b982b9e9-8479-4631-a516-1f175295bd17,32,251,64,872,"{1,1,0.9889914772727273,0.9364492266308003,0.899547803617571,0.8793811177770761,0.8785488958990537,0.760721114449604,0.7265849204278634,0.7239407330387315,0.7209422728449392,0.7233766233766235,0.7192665289256199,0.7228133921619517,0.7144689584402258,0.7216895568800207,0.6933034602937516,0.6709226692363287,0.6458719851576995,0.6197151757899422,0.6197151757899422,0.6142479047198941,0.599053559905356,0.5852069762555159,0.5808133472367049,0.5769629169256266,0.5631951466127402,0.5583400160384924,0.549418031169856,0.5199775952203137,0.5142171344165436,0.508675799086758}","{0.0260652,0.035952,0.0386484,0.0397719,0.0406707,0.0411201,0.0420189,0.042693,0.042693,0.0420189,0.042693,0.0431424,0.0440412,0.0444906,0.0451647,0.0458388,0.0462882,0.0465129,0.0465129,0.0467376,0.0467376,0.0469623,0.047187,0.0474117,0.0476364,0.0476364,0.0478611,0.0480858,0.0480858,0.0483105,0.0483105,0.0485352,0.0480858}",ES,premises-tecnalia700,PowerEdge R440,2021-04-20 07:16:51.218913,prod,1800,882
2,e6c53021-f79f-44bc-af94-cf496f143cfe,32,251,64,870,"{1,0.9859913793103449,0.9782608695652174,0.917446524064171,0.8988212180746562,0.8772770853307766,0.8399632802937577,0.7341535169831506,0.7015077945310503,0.7135430205354822,0.7102199223803364,0.7063818836850232,0.7102199223803364,0.7124318712691409,0.703305149884704,0.7102199223803364,0.6814796425024826,0.663203672384634,0.6392640894271077,0.6271418779986291,0.6101355856857079,0.5960912052117264,0.5909580193756727,0.5774084981068573,0.5746284278836089,0.56656346749226,0.5520917135961384,0.5519806957570883,0.5409932991722507,0.5373923257635083,0.5287998458871124,0.5011867810845353}","{0.0260652,0.035952,0.0386484,0.0397719,0.0406707,0.0411201,0.0420189,0.042693,0.042693,0.0420189,0.042693,0.0431424,0.0440412,0.0444906,0.0451647,0.0458388,0.0462882,0.0465129,0.0465129,0.0467376,0.0467376,0.0469623,0.047187,0.0474117,0.0476364,0.0476364,0.0478611,0.0480858,0.0480858,0.0483105,0.0483105,0.0485352,0.0480858}",ES,premises-tecnalia700,PowerEdge R440,2021-04-20 07:52:24.210823,prod,1800,695
3,693d98f1-9719-42da-8bf8-ac4993b33f65,32,251,64,871,"{1,0.977920227920228,0.9747958821441249,0.9038841342988809,0.8985602094240839,0.8889608287471674,0.8775966762543944,0.7927251732101617,0.7171585270305563,0.7139885595423817,0.7126914092914612,0.7134320602753962,0.7075496006183973,0.711767755313634,0.7070030895983521,0.71139896373057,0.6740304369170348,0.6588291746641075,0.6360898772295576,0.631264367816092,0.6072534276868643,0.5989094874591058,0.5914279560628904,0.5799366420274551,0.5723218007503127,0.5678246484698097,0.5515163687487448,0.5485417499001198,0.539807352073914,0.5381148344111307,0.5199772770308654,0.5003644314868805}","{0.0260652,0.035952,0.0386484,0.0397719,0.0406707,0.0411201,0.0420189,0.042693,0.042693,0.0420189,0.042693,0.0431424,0.0440412,0.0444906,0.0451647,0.0458388,0.0462882,0.0465129,0.0465129,0.0467376,0.0467376,0.0469623,0.047187,0.0474117,0.0476364,0.0476364,0.0478611,0.0480858,0.0480858,0.0483105,0.0483105,0.0485352,0.0480858}",ES,premises-tecnalia101,PowerEdge R440,2021-04-20 12:01:48.40163,prod,1800,902
4,3ccc19bc-701c-465d-861d-200807f97e89,32,251,62,874,"{1,0.9949784791965567,0.965205288796103,0.9428959891230454,0.9077225130890052,0.8876799999999999,0.8527513064863202,0.769700332963374,0.7250392054364871,0.7208939708939709,0.7186528497409326,0.7205194805194804,0.7182806835836354,0.7193983402489625,0.7087378640776698,0.7175375064666322,0.685615422639644,0.6679508788827353,0.6479794440551272,0.6183682567989299,0.6216943074854325,0.608733816107088,0.5941315056757336,0.5836313907006101,0.5765953024319268,0.5719587628865979,0.561424812790933,0.5551330798479087,0.5472479779049122,0.5424325381306218,0.5232974910394265,0.5037225349555111}","{0.0260652,0.035952,0.0386484,0.0397719,0.0406707,0.0411201,0.0420189,0.042693,0.042693,0.0420189,0.042693,0.0431424,0.0440412,0.0444906,0.0451647,0.0458388,0.0462882,0.0465129,0.0465129,0.0467376,0.0467376,0.0469623,0.047187,0.0474117,0.0476364,0.0476364,0.0478611,0.0480858,0.0480858,0.0483105,0.0483105,0.0485352,0.0480858}",ES,premises-tecnalia101,PowerEdge R440,2021-04-20 12:37:13.490634,prod,1800,654
5,8225cdfa-15f7-4a9c-a8f8-a3f044c7f694,2,6.8,62,342,"{1,0.9589648798521258}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge-river,vagrant,2021-04-20 21:00:01.600835,prod,2999,165
6,382e8bbf-64de-4be3-8184-62ff3531bc3b,2,6.8,75,349,"{1,0.9469555472543894}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge-river,vagrant,2021-04-20 21:29:27.636164,prod,2999,141
7,94030667-07c1-4300-b13b-b477f0c7812c,2,6.8,75,335,"{1,0.9437706725468578}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge-river,vagrant,2021-04-21 09:19:28.791995,prod,3000,197
8,bb270351-735a-4083-b077-643384c5875e,2,6.8,70,269,"{1,0.959016393442623}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge-river,vagrant,2021-04-21 14:09:16.917918,prod,3000,111
9,29cf1532-1a5d-4577-9abe-569d8f3c8102,2,6.8,63,213,"{1,0.8601173020527858}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge-river,vagrant,2021-04-21 20:31:47.635797,prod,3000,126
10,6da3dd73-db88-4cfa-8dea-df65bdcca5cf,2,6.8,60,344,"{1,0.9455555555555556}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge-road,vagrant,2021-04-23 12:33:09.426819,prod,2999,125
